idTable_E;nameIndicator;year2018;year2019;year2020;year2021;year2022;medialValueRF;medialSubject;medialDepartment
1;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);1390,35;2099,79;10304,12;752,39;6417,89;122,6;298,8;123,5
2;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);248,87;247,66;256,27;274,43;284,29;122,6;298,8;123,5
3;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);1065,67;908,09;1045,73;1065,76;5582,13;122,6;298,8;82,9
4;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);2263,35;4061,84;4313,94;4265,43;4406,91;122,6;298,8;127,2
5;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);3493,18;2956,17;2574,75;1790,03;1887,94;122,6;298,8;127,2
6;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);939,92;1148,62;1181,54;935,58;938,92;122,6;298,8;127,2
7;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);467,7;412,42;259,51;181,07;160,61;122,6;298,8;127,2
8;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);2543,2;2463,22;1945,14;3065,47;3199,07;122,6;298,8;127,2
9;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);1189,38;1461,66;1753,03;1753,12;1803,12;122,6;298,8;63,4
10;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);2317,66;3187,97;3527,95;3647,89;3233,32;122,6;298,8;127,2
11;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);215,51;302,66;485,97;644,46;395,36;122,6;298,8;127,2
12;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);511,51;513,99;789,36;951,36;837,28;122,6;298,8;837,3
13;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);258,9;393,8;426,93;476,69;507,12;122,6;298,8;237,5
14;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);968,6;1141,22;1120,9;1169,57;1597,35;122,6;298,8;127,2
15;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);462,92;382,49;328,03;269,14;590;122,6;298,8;127,2
16;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);235,2;326,92;266,34;315,16;282,83;122,6;298,8;127,2
17;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);1275,69;1022,87;1594,87;1528,19;683,73;122,6;298,8;127,2
18;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);769,12;1023,66;1115,62;1069,98;1253,79;122,6;298,8;127,2
19;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);385,13;295,43;311,53;472,67;1171,02;122,6;298,8;237,5
20;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);160,43;141,77;140,94;63,12;62,47;122,6;298,8;127,2
21;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);1068,96;1055,01;1466,42;1393,18;1119,81;122,6;298,8;127,2
22;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);1059,94;929,07;711,53;626,14;559,31;122,6;298,8;127,2
23;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);223,22;151,85;174,3;74,05;15,02;122,6;298,8;88
24;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);1817,12;1575,16;1710,36;1682,57;1345,97;122,6;298,8;127,2
25;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);178,63;235,04;312,5;317,76;569,37;122,6;298,8;127,2
26;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);142,01;294,01;704,92;918,91;599,9;122,6;298,8;127,2
27;E.2. Научно-исследовательская деятельность. (Объем НИОКР в расчете на одного научно-педагогического работника, за исключением ППС из числа работников предприятий и организаций образовательных), привлеченных к образовательной деятельности по реализации образовательных программ бакалавриата, специалитета, магистратуры);287,5;342,1;487,76;437,44;685,96;122,6;298,8;127,2
