idTable_E;nameIndicator;year2018;year2019;year2020;year2021;year2022;medialValueRF;medialSubject;medialDepartment
1;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);21338,57;15610,1;16828,06;15802,68;18448,75;3183;5877,5;2697,6
2;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3319,65;3451,46;3550;3602;3763,77;3183;5877,5;2697,6
3;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);4286,69;4657,91;5612,03;5531,5;11642,66;3183;5877,5;3256,2
4;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);6964,3;8767,6;10225,63;10150,55;12101,51;3183;5877,5;3254,7
5;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);7174,79;7584,8;7784,57;7916,01;10655,32;3183;5877,5;3254,7
6;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);4402,34;5717,37;6698,71;6820,41;7547,85;3183;5877,5;3254,7
7;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3428,81;3834,79;4183,97;4614,63;6486,02;3183;5877,5;3254,7
8;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);8580,07;11304,18;10265;11137,68;10449,22;3183;5877,5;3254,7
9;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);7208,84;8169,24;8052,29;8903,5;9747,83;3183;5877,5;2832
10;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);6935,72;9751,86;10190,97;11087,17;11359,75;3183;5877,5;3254,7
11;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);5301,43;6835,7;7606,78;7932,23;8527,28;3183;5877,5;3254,7
12;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3682,79;3896,84;6208,48;9000,32;8114,95;3183;5877,5;8115
13;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3241,26;3914,61;4546,12;4608,32;4477,98;3183;5877,5;3400,3
14;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3603,22;4516,1;5346,9;6055,05;6992,6;3183;5877,5;3254,7
15;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3248,18;3049,79;3828,38;3710,96;3953,29;3183;5877,5;3254,7
16;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);4125,15;5211,29;5223,68;5458,84;5399,12;3183;5877,5;3254,7
17;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);5275,35;6496,09;7785,64;8812,41;7847,65;3183;5877,5;3254,7
18;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);4542,5;7013,52;5950,48;5915,64;6637,01;3183;5877,5;3254,7
19;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3646,09;4170,72;5001,78;7400,52;7518,52;3183;5877,5;3400,3
20;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3622,9;4271,74;4709,68;5977,88;6507,14;3183;5877,5;3254,7
21;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3925,41;5096,47;7685,52;6430,82;6792,14;3183;5877,5;3254,7
22;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3868,33;4463,06;4972,25;7090,07;5496,66;3183;5877,5;3254,7
23;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);4403,48;5899,97;5456,16;5178,8;6891,06;3183;5877,5;7264,1
24;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);5522,7;6349,84;8764,26;7784,1;7392,93;3183;5877,5;3254,7
25;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3527,76;4676,58;4683,87;5009,57;4907,8;3183;5877,5;3254,7
26;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);2266,59;4743,06;6334,1;7622,24;7570,01;3183;5877,5;3254,7
27;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);5551,79;6783,09;6671,74;5938,78;6589,18;3183;5877,5;3254,7
28;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);6093,26;7206,85;8225,23;8554,41;9522,73;3183;5877,5;3254,7
29;E.4. Финансово-экономическая деятельность.(Доходы образовательной организации из всех источников в расчете на одного НПР);3322,36;4688,03;5072,02;5455,48;6860,45;3183;5877,5;3254,7
