idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
5;28.00.00 - Нанотехнологии и наноматериалы;38;0,80%;3,30%;9;0
8;28.00.00 - Нанотехнологии и наноматериалы;265;3,10%;22,60%;9;0
11;28.00.00 - Нанотехнологии и наноматериалы;112;0,50%;9,60%;9;0
14;28.00.00 - Нанотехнологии и наноматериалы;87;0,50%;7,40%;9;0
21;28.00.00 - Нанотехнологии и наноматериалы;207;3,20%;17,70%;9;0
22;28.00.00 - Нанотехнологии и наноматериалы;129;0,50%;11,00%;9;0
24;28.00.00 - Нанотехнологии и наноматериалы;276;1,20%;23,60%;9;0
