idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
2;08.00.00 - “ехника и технологии строительства;151,1;15,30%;1,50%;9;0
7;08.00.00 - “ехника и технологии строительства;225,1;2,70%;2,20%;9;0
11;08.00.00 - “ехника и технологии строительства;441;1,90%;4,20%;9;0
12;08.00.00 - “ехника и технологии строительства;710;4,10%;6,80%;9;0
15;08.00.00 - “ехника и технологии строительства;1239,4;20,10%;11,90%;9;0
18;08.00.00 - “ехника и технологии строительства;6956,8;63,90%;67,00%;9;0
19;08.00.00 - “ехника и технологии строительства;527;5,10%;5,10%;9;0
28;08.00.00 - “ехника и технологии строительства;87,6;0,60%;0,80%;9;0
29;08.00.00 - “ехника и технологии строительства;50,8;1,90%;0,50%;9;0
