idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
2;38.00.00 - Ёкономика и управление;27,8;2,80%;0,00%;96;1
3;38.00.00 - Ёкономика и управление;82,8;1,90%;0,10%;96;1
4;38.00.00 - Ёкономика и управление;1;0,00%;0,00%;96;1
5;38.00.00 - Ёкономика и управление;282,2;6,00%;0,30%;96;1
6;38.00.00 - Ёкономика и управление;1285,8;14,70%;1,20%;96;1
7;38.00.00 - Ёкономика и управление;330,2;4,00%;0,30%;96;1
8;38.00.00 - Ёкономика и управление;1211;14,40%;1,20%;96;1
9;38.00.00 - Ёкономика и управление;11 346,00;30,60%;10,90%;96;1
10;38.00.00 - Ёкономика и управление;670;11,40%;0,60%;96;1
11;38.00.00 - Ёкономика и управление;2709,5;11,40%;2,60%;96;1
12;38.00.00 - Ёкономика и управление;4363,1;25,30%;4,20%;96;1
13;38.00.00 - Ёкономика и управление;136,8;5,40%;0,10%;96;1
14;38.00.00 - Ёкономика и управление;974,5;6,00%;0,90%;96;1
15;38.00.00 - Ёкономика и управление;1556,4;25,30%;1,50%;96;1
17;38.00.00 - Ёкономика и управление;250;5,40%;0,20%;96;1
18;38.00.00 - Ёкономика и управление;995,3;9,20%;1,00%;96;1
19;38.00.00 - Ёкономика и управление;835,4;8,10%;0,80%;96;1
20;38.00.00 - Ёкономика и управление;681,7;9,00%;0,70%;96;1
21;38.00.00 - Ёкономика и управление;76,6;1,20%;0,10%;96;1
22;38.00.00 - Ёкономика и управление;2901,3;11,00%;2,80%;96;1
24;38.00.00 - Ёкономика и управление;548;2,40%;0,50%;96;1
26;38.00.00 - Ёкономика и управление;189,2;4,30%;0,20%;96;1
27;38.00.00 - Ёкономика и управление;377,8;14,00%;0,40%;96;1
28;38.00.00 - Ёкономика и управление;984,7;7,20%;1,00%;96;1
29;38.00.00 - Ёкономика и управление;128,7;4,90%;0,10%;96;1
