idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
1;22.00.00 - Технологии материалов;38;6,80%;1,30%;11;0
5;22.00.00 - Технологии материалов;110;2,30%;3,90%;11;0
7;22.00.00 - Технологии материалов;247,8;3,00%;8,70%;11;0
8;22.00.00 - Технологии материалов;1081;12,80%;38,10%;11;0
10;22.00.00 - Технологии материалов;114;1,90%;4,00%;11;0
14;22.00.00 - Технологии материалов;389,5;2,40%;13,70%;11;0
17;22.00.00 - Технологии материалов;76;1,70%;2,70%;11;0
21;22.00.00 - Технологии материалов;120;1,90%;4,20%;11;0
22;22.00.00 - Технологии материалов;264;1,00%;9,30%;11;0
24;22.00.00 - Технологии материалов;357;1,60%;12,60%;11;0
