idTable_E;nameIndicator;year2018;year2019;year2020;year2021;year2022;medialValueRF;medialSubject;medialDepartment
1;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);1431,29;1668,33;1753,26;970,03;750,71;204,3;200,5;179,6
2;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);195,83;208,39;225,16;213,94;201,31;204,3;200,5;179,6
3;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);226,19;204,7;199,48;203,3;195,56;204,3;200,5;201,2
4;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);224,29;244,94;261,94;235,22;229,81;204,3;200,5;207,7
5;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);201,67;218,44;215,6;216,53;209,43;204,3;200,5;207,7
6;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);200,2;222,97;228,71;228,93;242,67;204,3;200,5;207,7
7;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);163,38;204,82;206,39;198,1;207,52;204,3;200,5;207,7
8;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);192,48;211,19;214,61;222,06;213,01;204,3;200,5;207,7
9;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);237,09;250,37;262,3;257,42;264,29;204,3;200,5;208,7
10;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);206,3;282,76;266,22;256,96;229,42;204,3;200,5;207,7
11;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);211,82;225,23;235,54;242,12;246,76;204,3;200,5;207,7
12;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);211,61;201,34;214,28;238,28;239,21;204,3;200,5;239,2
13;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);188,49;204,77;220,89;213,03;197,32;204,3;200,5;200,4
14;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);168,05;206,13;208,29;211,27;199,98;204,3;200,5;207,7
15;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);184,51;204,91;205,76;199,04;181,51;204,3;200,5;207,7
16;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);195,25;221,29;212;209,4;206,59;204,3;200,5;207,7
17;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);201,23;234,18;250,07;284,29;270,1;204,3;200,5;207,7
18;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);207,61;213,42;216,23;205,3;197,32;204,3;200,5;207,7
19;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);154,34;193,63;206,44;200,39;200,04;204,3;200,5;200,4
20;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);187,24;220,1;213,06;213,76;204,16;204,3;200,5;207,7
21;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);168,93;206,54;205,38;204,99;200,97;204,3;200,5;207,7
22;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);199,05;209,7;206,63;211,49;219,18;204,3;200,5;207,7
23;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);232,37;205,04;205,51;202,06;198,07;204,3;200,5;200,1
24;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);201,58;209,63;194,46;202,28;199,51;204,3;200,5;207,7
25;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);124,28;206,57;217,02;213,3;166,76;204,3;200,5;207,7
26;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);100,03;201,73;213,89;230,01;239,59;204,3;200,5;207,7
27;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);192,78;209,07;204,54;206,52;200,03;204,3;200,5;207,7
28;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);209,78;236,16;236,5;229,56;231;204,3;200,5;207,7
29;E.5. Заработная плата ППС. (Отношение заработной платы профессорско-преподавательского состава к средней заработной плате по экономике региона);119,25;204,48;205,67;206,01;209,58;204,3;200,5;207,7
