idTable_E;nameIndicator;year2018;year2019;year2020;year2021;year2022;medialValueRF;medialSubject;medialDepartment
1;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);11,97;6,7;14,24;16,42;17,21;3,46;4,49;3,55
2;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,83;4,27;4,96;5,11;5,22;3,46;4,49;3,55
3;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);3,76;3,5;2,72;2,67;2,4;3,46;4,49;2,9
4;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);7,27;6,7;6,08;5,14;4,98;3,46;4,49;3,47
5;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);5,55;5,29;5,36;5,13;4,86;3,46;4,49;3,47
6;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);7,34;6,37;6,44;6,05;5,78;3,46;4,49;3,47
7;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,23;4,53;4,56;4,58;2,8;3,46;4,49;3,47
8;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);5,77;5,25;5,09;4,76;4,28;3,46;4,49;3,47
9;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,56;4,27;3,95;3,68;3,49;3,46;4,49;3,14
10;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);7,85;7,72;7,49;7;5,85;3,46;4,49;3,47
11;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,91;5,03;4,68;4,33;4,04;3,46;4,49;3,47
12;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);3,35;3,62;2,73;2,42;2,66;3,46;4,49;2,66
