idTable_E;nameIndicator;year2018;year2019;year2020;year2021;year2022;medialValueRF;medialSubject;medialDepartment
13;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);5,24;5,25;5,26;5,15;5,59;3,46;4,49;3,68
14;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);5,86;5,51;5,2;5,09;5,41;3,46;4,49;3,47
15;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,62;4,99;5,25;5,53;5,4;3,46;4,49;3,47
16;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);78,21;80,48;88,15;84,84;80,16;62,84;40,42;68,42
17;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,16;3,3;3,29;3,32;3,21;3,46;4,49;3,47
18;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,29;4,7;4,51;4,51;4,25;3,46;4,49;3,47
19;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,89;4,75;4,56;4,11;4,63;3,46;4,49;3,68
20;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,22;3,86;4,21;3,94;4,07;3,46;4,49;3,47
21;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);6,76;5,76;5,07;4,93;4,82;3,46;4,49;3,47
22;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,85;4,85;4,71;4,78;4,77;3,46;4,49;3,47
23;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);62,22;8,54;7,6;7,63;7,99;21,69;7,99;7,99
24;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);6,43;5,23;5,31;5,04;5,23;3,46;4,49;3,47
25;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);3,68;4,45;4,08;3,98;3,76;3,46;4,49;3,47
26;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);5,64;4,51;3,71;3,58;3,65;3,46;4,49;3,47
27;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);2,04;1,85;2,03;2,81;2,33;3,46;4,49;3,47
28;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,28;4,36;4,26;4,28;4,13;3,46;4,49;3,47
29;E.8. Дополнительный показатель.(Численность сотрудников, из числа профессорско-преподавательского состава (приведенных к доле ставки), имеющих ученые степени кандидата или доктора наук, в расчете на 100 студентов);4,18;4,27;4,27;4,24;3,33;3,46;4,49;3,47
