idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
1;02.00.00 - Компьютерные и информационные науки;170;30,50%;7,60%;12;0
3;02.00.00 - Компьютерные и информационные науки;169;3,90%;7,50%;12;0
11;02.00.00 - Компьютерные и информационные науки;471;2,00%;20,90%;12;0
14;02.00.00 - Компьютерные и информационные науки;276;1,70%;12,30%;12;0
22;02.00.00 - Компьютерные и информационные науки;173;0,70%;7,70%;12;0
24;02.00.00 - Компьютерные и информационные науки;348;1,50%;15,50%;12;0
