idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
7;23.00.00 - “ехника и технологии наземного транспорта;494,2;5,90%;4,40%;12;0
8;23.00.00 - “ехника и технологии наземного транспорта;39;0,50%;0,40%;12;0
11;23.00.00 - “ехника и технологии наземного транспорта;119;0,50%;1,10%;12;0
12;23.00.00 - “ехника и технологии наземного транспорта;6529,8;37,80%;57,80%;12;0
15;23.00.00 - “ехника и технологии наземного транспорта;2385;38,70%;21,10%;12;0
18;23.00.00 - “ехника и технологии наземного транспорта;145;1,30%;1,30%;12;0
19;23.00.00 - “ехника и технологии наземного транспорта;577;5,60%;5,10%;12;0
22;23.00.00 - “ехника и технологии наземного транспорта;0,6;0,00%;0,00%;12;0
23;23.00.00 - “ехника и технологии наземного транспорта;348,3;12,20%;3,10%;12;0
24;23.00.00 - “ехника и технологии наземного транспорта;613;2,70%;5,40%;12;0
26;23.00.00 - “ехника и технологии наземного транспорта;20;0,50%;0,20%;12;0
29;23.00.00 - “ехника и технологии наземного транспорта;21,5;0,80%;0,20%;12;0
