idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
2;54.00.00 - »зобразительное и прикладные виды искусств;181,4;18,40%;1,50%;35;1
5;54.00.00 - »зобразительное и прикладные виды искусств;68;1,40%;0,50%;35;1
7;54.00.00 - »зобразительное и прикладные виды искусств;700,5;8,40%;5,60%;35;1
9;54.00.00 - »зобразительное и прикладные виды искусств;2695;7,30%;21,60%;35;1
13;54.00.00 - »зобразительное и прикладные виды искусств;15;0,60%;0,10%;35;1
20;54.00.00 - »зобразительное и прикладные виды искусств;1188,7;15,60%;9,50%;35;1
22;54.00.00 - »зобразительное и прикладные виды искусств;173,1;0,70%;1,40%;35;1
24;54.00.00 - »зобразительное и прикладные виды искусств;107;0,50%;0,90%;35;1
27;54.00.00 - »зобразительное и прикладные виды искусств;72;2,70%;0,60%;35;1
28;54.00.00 - »зобразительное и прикладные виды искусств;88,3;0,60%;0,70%;35;1
